pessoa,x,y,z,tempo,hora,som
185,-325.136,374.027,-0.67,00:53,21:18:05,1
185,-325.136,374.027,-0.67,00:53,21:18:05,0
185,0,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,1.57,0,-0.67,00:53,21:18:05,0
185,-0.05,1.57,-0.67,00:53,21:18:05,0
185,-0.05,1.57,-0.67,00:53,21:18:05,0
185,-0.05,1.57,-0.67,00:53,21:18:05,0
185,-0.05,1.57,-0.67,00:53,21:18:05,0
185,-0.08,1.57,-0.67,00:53,21:18:05,0
185,-0.08,1.57,-0.67,00:53,21:18:06,0
185,-0.08,1.57,-0.67,00:53,21:18:06,0
185,-0.08,1.57,-0.67,00:53,21:18:06,0
185,-0.08,1.57,-0.67,00:53,21:18:06,0
185,-0.08,1.57,-0.67,00:53,21:18:06,0
185,-0.08,1.57,-0.67,00:53,21:18:06,0
185,-0.08,1.57,-0.67,00:53,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
185,-0.08,1.57,-0.67,00:54,21:18:06,0
