pessoa,x,y,z,tempo,hora,som
155,278.691,0,-0.67,06:37,20:35:47,3
155,278.691,0,-0.67,06:37,20:35:47,2
164,278.691,0,-0.67,06:39,20:35:49,2
164,278.691,0,-0.67,06:39,20:35:49,38
162,623.911,0,-0.67,06:40,20:35:50,38
162,623.911,0,-0.67,06:40,20:35:50,12
164,0,0,-0.67,06:40,20:35:50,38
164,0,0,-0.67,06:41,20:35:51,12
164,785.458,0,-0.67,06:42,20:35:52,12
164,988.832,0,-0.67,06:43,20:35:52,12
164,175.842,0,-0.67,06:43,20:35:53,12
164,197.298,0,-0.67,06:44,20:35:54,12
164,881.298,0,-0.67,06:45,20:35:55,12
164,124.487,0,-0.67,06:46,20:35:56,12
164,393.661,0,-0.67,06:47,20:35:57,5
164,393.661,0,-0.67,06:49,20:35:59,5
164,139.676,0,-0.67,06:49,20:35:59,5
164,197.298,0,-0.67,06:50,20:36:00,5
164,110.949,0,-0.67,06:51,20:36:01,5
164,139.676,0,-0.67,06:52,20:36:02,5
164,248.383,0,-0.67,06:53,20:36:03,5
164,124.487,0,-0.67,06:54,20:36:03,5
164,110.949,0,-0.67,06:55,20:36:04,5
164,110.949,0,-0.67,06:55,20:36:05,5
164,881.298,0,-0.67,06:57,20:36:06,5
164,124.487,0,-0.67,06:57,20:36:07,5
162,221.372,0,-0.67,06:58,20:36:08,5
162,221.372,0,-0.67,06:58,20:36:08,12
162,0,0,-0.67,06:58,20:36:08,12
162,-19.474,122.954,-0.67,06:58,20:36:08,12
162,-19.474,122.954,-0.67,06:58,20:36:08,12
162,-19.474,122.954,-0.67,06:58,20:36:08,12
162,-19.474,122.954,-0.67,06:58,20:36:08,12
162,-216.169,122.595,-0.67,06:58,20:36:08,12
162,-216.169,122.595,-0.67,06:58,20:36:08,12
162,-216.169,122.595,-0.67,06:58,20:36:08,12
162,-237.532,122.199,-0.67,06:58,20:36:08,12
162,-237.532,122.199,-0.67,06:58,20:36:08,12
162,-237.532,122.199,-0.67,06:58,20:36:08,12
162,-237.532,122.199,-0.67,06:58,20:36:08,12
162,-237.532,122.199,-0.67,06:58,20:36:08,12
162,-258.822,121.766,-0.67,06:58,20:36:08,12
162,-258.822,121.766,-0.67,06:58,20:36:08,12
162,-258.822,121.766,-0.67,06:58,20:36:08,12
162,-258.822,121.766,-0.67,06:58,20:36:08,12
162,-258.822,121.766,-0.67,06:58,20:36:08,12
162,-258.822,121.766,-0.67,06:58,20:36:08,12
162,-280.034,121.296,-0.67,06:58,20:36:08,12
162,-280.034,121.296,-0.67,06:58,20:36:08,12
162,-280.034,121.296,-0.67,06:58,20:36:08,12
162,-280.034,121.296,-0.67,06:58,20:36:08,12
162,-280.034,121.296,-0.67,06:58,20:36:08,12
162,-30.116,120.789,-0.67,06:58,20:36:08,12
162,-30.116,120.789,-0.67,06:58,20:36:08,12
162,-30.116,120.789,-0.67,06:58,20:36:08,12
162,139.676,0,-0.67,06:58,20:36:08,12
162,-30.116,120.789,-0.67,06:58,20:36:08,12
162,-322.195,120.245,-0.67,06:58,20:36:08,12
162,-322.195,120.245,-0.67,06:58,20:36:08,12
162,-322.195,120.245,-0.67,06:58,20:36:08,12
162,-343.132,119.664,-0.67,06:58,20:36:08,12
162,-343.132,119.664,-0.67,06:58,20:36:08,12
162,-343.132,119.664,-0.67,06:58,20:36:08,12
162,-343.132,119.664,-0.67,06:58,20:36:08,12
162,-363.964,119.047,-0.67,06:58,20:36:08,12
162,0,0,-0.67,06:58,20:36:08,2
162,278.691,0,-0.67,06:58,20:36:08,2
162,-363.964,119.047,-0.67,06:58,20:36:08,2
162,-384.685,118.394,-0.67,06:58,20:36:08,2
162,-384.685,118.394,-0.67,06:58,20:36:08,2
162,278.691,0,-0.67,06:58,20:36:08,2
162,-384.685,118.394,-0.67,06:58,20:36:08,2
162,278.691,0,-0.67,06:58,20:36:08,2
162,-405.289,117.704,-0.67,06:58,20:36:08,2
162,-405.289,117.704,-0.67,06:58,20:36:08,2
162,-405.289,117.704,-0.67,06:59,20:36:08,2
162,-405.289,117.704,-0.67,06:59,20:36:08,2
162,0,0,-0.67,06:59,20:36:08,2
162,-425.769,116.979,-0.67,06:59,20:36:08,2
162,278.691,0,-0.67,06:59,20:36:08,2
162,-425.769,116.979,-0.67,06:59,20:36:08,2
162,278.691,0,-0.67,06:59,20:36:08,2
162,-44.612,116.218,-0.67,06:59,20:36:08,2
162,-44.612,116.218,-0.67,06:59,20:36:08,2
164,-30.116,120.789,-0.67,06:58,20:36:08,12
162,-44.612,116.218,-0.67,06:59,20:36:09,2
162,0,0,-0.67,06:59,20:36:09,2
162,-44.612,116.218,-0.67,06:59,20:36:09,2
162,-466.335,115.422,-0.67,06:59,20:36:09,2
162,-466.335,115.422,-0.67,06:59,20:36:09,2
162,-466.335,115.422,-0.67,06:59,20:36:09,2
