pessoa,x,y,z,tempo,hora,som
183,881.298,0,-0.67,06:43,20:59:54,40
183,881.298,0,-0.67,06:43,20:59:54,28
183,0,0,-0.67,06:48,20:59:59,40
184,-864.757,895.482,-0.67,06:49,21:00:00,40
182,221.372,0,-0.67,06:50,21:00:01,4
184,0,0,-0.67,06:50,21:00:01,4
182,350.851,0,-0.67,06:50,21:00:01,4
182,221.372,0,-0.67,06:50,21:00:01,40
182,248.383,0,-0.67,06:50,21:00:01,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
183,350.851,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,142.259,-103.357,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:52,21:00:03,4
184,393.661,0,-0.67,06:53,21:00:04,4
182,49.559,0,-0.67,06:53,21:00:04,4
182,393.661,0,-0.67,06:53,21:00:04,4
182,49.559,0,-0.67,06:53,21:00:04,4
182,49.559,0,-0.67,06:53,21:00:04,4
182,0,0,-0.67,06:53,21:00:04,4
182,393.661,0,-0.67,06:53,21:00:04,4
182,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
182,49.559,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,49.559,0,-0.67,06:53,21:00:04,4
184,49.559,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
184,393.661,0,-0.67,06:53,21:00:04,4
